question_id,ref_id,reference_answer_text
Q104,R2,"Address binding plays an essential role in os basics, helping the operating system to function efficiently."
Q104,R3,"In simple terms, address binding refers to a mechanism or principle used in os basics to manage processes or resources."
Q105,R1,Dynamic loading loads a routine into memory only when it is called.
Q105,R2,"Dynamic loading plays an essential role in os basics, helping the operating system to function efficiently."
Q105,R3,"In simple terms, dynamic loading refers to a mechanism or principle used in os basics to manage processes or resources."
Q106,R1,Dynamic linking links library routines at runtime rather than at compile time.
Q106,R2,"Dynamic linking plays an essential role in os basics, helping the operating system to function efficiently."
Q106,R3,"In simple terms, dynamic linking refers to a mechanism or principle used in os basics to manage processes or resources."
Q107,R1,"Race condition occurs when multiple processes access shared data simultaneously, leading to inconsistent results."
Q107,R2,"Race condition plays an essential role in synchronization, helping the operating system to function efficiently."
Q107,R3,"In simple terms, race condition refers to a mechanism or principle used in synchronization to manage processes or resources."
Q108,R1,Mutual exclusion ensures that only one process can access a critical section at a time.
Q108,R2,"Mutual exclusion plays an essential role in os basics, helping the operating system to function efficiently."
Q108,R3,"In simple terms, mutual exclusion refers to a mechanism or principle used in os basics to manage processes or resources."
Q109,R1,Preemptive scheduling allows interruption of processes; non-preemptive waits until a process finishes or blocks.
Q109,R2,"Difference  preemptive  non-preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q109,R3,"In simple terms, difference  preemptive  non-preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q110,R1,"Processes are divided into queues based on priority or type, each with its own scheduling algorithm."
Q110,R2,"Multilevel queue scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q110,R3,"In simple terms, multilevel queue scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q111,R1,"Processes can move between queues based on behavior, allowing flexibility and fairness."
Q111,R2,"Multilevel feedback queue scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q111,R3,"In simple terms, multilevel feedback queue scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q112,R1,Aging gradually increases the priority of waiting processes to prevent starvation.
Q112,R2,"Aging in cpu scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q112,R3,"In simple terms, aging in cpu scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q113,R1,Internal fragmentation wastes memory inside allocated blocks; external fragmentation occurs when free memory is split into small non-contiguous blocks.
Q113,R2,"Difference  internal  external fragmentation plays an essential role in memory management, helping the operating system to function efficiently."
Q113,R3,"In simple terms, difference  internal  external fragmentation refers to a mechanism or principle used in memory management to manage processes or resources."
Q114,R1,A file descriptor is an integer handle used to access files or I/O streams.
Q114,R2,"File descriptor plays an essential role in file systems, helping the operating system to function efficiently."
Q114,R3,"In simple terms, file descriptor refers to a mechanism or principle used in file systems to manage processes or resources."
Q115,R1,A program is a passive set of instructions; a process is a running instance of a program.
Q115,R2,"Difference  process  program plays an essential role in process management, helping the operating system to function efficiently."
Q115,R3,"In simple terms, difference  process  program refers to a mechanism or principle used in process management to manage processes or resources."
Q116,R1,Cooperative multitasking relies on processes to yield control; preemptive multitasking allows OS to forcibly switch processes.
Q116,R2,"Difference  cooperative  preemptive multitasking plays an essential role in os basics, helping the operating system to function efficiently."
Q116,R3,"In simple terms, difference  cooperative  preemptive multitasking refers to a mechanism or principle used in os basics to manage processes or resources."
Q117,R1,A kernel thread is managed by the OS kernel and has full access to system resources.
Q117,R2,"Kernel thread plays an essential role in process management, helping the operating system to function efficiently."
Q117,R3,"In simple terms, kernel thread refers to a mechanism or principle used in process management to manage processes or resources."
Q118,R1,A user thread is managed in user space without kernel involvement for context switching.
Q118,R2,"User thread plays an essential role in process management, helping the operating system to function efficiently."
Q118,R3,"In simple terms, user thread refers to a mechanism or principle used in process management to manage processes or resources."
Q119,R1,"Efficient CPU utilization, faster execution, better responsiveness, and resource sharing."
Q119,R2,"What are advantages of multithreading plays an essential role in os basics, helping the operating system to function efficiently."
Q119,R3,"In simple terms, what are advantages of multithreading refers to a mechanism or principle used in os basics to manage processes or resources."
Q120,R1,Switching the CPU from one thread to another within the same process or between processes.
Q120,R2,"Thread context switch plays an essential role in process management, helping the operating system to function efficiently."
Q120,R3,"In simple terms, thread context switch refers to a mechanism or principle used in process management to manage processes or resources."
Q121,R1,"PCB stores process information, including state, program counter, CPU registers, memory limits, and I/O status."
Q121,R2,"Process control block (pcb) plays an essential role in process management, helping the operating system to function efficiently."
Q121,R3,"In simple terms, process control block (pcb) refers to a mechanism or principle used in process management to manage processes or resources."
Q122,R1,A segment of code that accesses shared resources and must be executed exclusively.
Q122,R2,"Critical section plays an essential role in synchronization, helping the operating system to function efficiently."
Q122,R3,"In simple terms, critical section refers to a mechanism or principle used in synchronization to manage processes or resources."
Q123,R1,"Disabling interrupts, mutexes, semaphores, monitors."
Q123,R2,"What are methods to hle critical section problem plays an essential role in synchronization, helping the operating system to function efficiently."
Q123,R3,"In simple terms, what are methods to hle critical section problem refers to a mechanism or principle used in synchronization to manage processes or resources."
Q124,R1,No direct answer available for what is peterson����s solution?.
Q124,R2,"Petersons solution plays an essential role in os basics, helping the operating system to function efficiently."
Q124,R3,"In simple terms, peterson����s solution refers to a mechanism or principle used in os basics to manage processes or resources."
Q125,R1,Semaphore with integer value that allows multiple processes to access shared resources simultaneously.
Q125,R2,"Counting semaphore plays an essential role in deadlocks, helping the operating system to function efficiently."
Q125,R3,"In simple terms, counting semaphore refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q126,R1,Binary semaphore allows one process; counting semaphore allows multiple processes.
Q126,R2,"Difference  counting semaphore  binary semaphore plays an essential role in deadlocks, helping the operating system to function efficiently."
Q126,R3,"In simple terms, difference  counting semaphore  binary semaphore refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q127,R1,"Busy waiting occurs when a process continuously checks a condition instead of sleeping, wasting CPU cycles."
Q127,R2,"Busy waiting plays an essential role in os basics, helping the operating system to function efficiently."
Q127,R3,"In simple terms, busy waiting refers to a mechanism or principle used in os basics to manage processes or resources."
Q128,R1,Ensuring at least one necessary condition for deadlock cannot hold.
Q128,R2,"Deadlock prevention plays an essential role in deadlocks, helping the operating system to function efficiently."
Q128,R3,"In simple terms, deadlock prevention refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q129,R1,"Dynamically checks resource allocation to avoid unsafe states (e.g., Banker's Algorithm)."
Q129,R2,"Deadlock avoidance plays an essential role in deadlocks, helping the operating system to function efficiently."
Q129,R3,"In simple terms, deadlock avoidance refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q130,R1,A deadlock avoidance algorithm that checks if resource allocation leads to a safe state.
Q130,R2,"Banker's algorithm plays an essential role in os basics, helping the operating system to function efficiently."
Q130,R3,"In simple terms, banker's algorithm refers to a mechanism or principle used in os basics to manage processes or resources."
Q131,R1,OS periodically checks for deadlocks and recovers if necessary.
Q131,R2,"Deadlock detection plays an essential role in deadlocks, helping the operating system to function efficiently."
Q131,R3,"In simple terms, deadlock detection refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q132,R1,Techniques include terminating processes or preempting resources to resolve deadlocks.
Q132,R2,"Deadlock recovery plays an essential role in deadlocks, helping the operating system to function efficiently."
Q132,R3,"In simple terms, deadlock recovery refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q133,R1,Paging divides memory into fixed-size pages to eliminate fragmentation and map virtual memory to physical memory.
Q133,R2,"Paging plays an essential role in memory management, helping the operating system to function efficiently."
Q133,R3,"In simple terms, paging refers to a mechanism or principle used in memory management to manage processes or resources."
Q134,R1,Paging uses fixed-size pages; segmentation uses variable-size logical segments.
Q134,R2,"Difference  paging  segmentation plays an essential role in memory management, helping the operating system to function efficiently."
Q134,R3,"In simple terms, difference  paging  segmentation refers to a mechanism or principle used in memory management to manage processes or resources."
Q135,R1,"A page fault occurs when a program accesses a page not currently in physical memory, triggering loading from disk."
Q135,R2,"Page fault plays an essential role in virtual memory, helping the operating system to function efficiently."
Q135,R3,"In simple terms, page fault refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q136,R1,"Pages are loaded into memory only when referenced, reducing memory usage."
Q136,R2,"Dem paging plays an essential role in memory management, helping the operating system to function efficiently."
Q136,R3,"In simple terms, dem paging refers to a mechanism or principle used in memory management to manage processes or resources."
Q137,R1,The set of pages actively used by a process to minimize page faults.
Q137,R2,"Working set plays an essential role in os basics, helping the operating system to function efficiently."
Q137,R3,"In simple terms, working set refers to a mechanism or principle used in os basics to manage processes or resources."
Q138,R1,Thrashing occurs when excessive page swapping reduces system performance due to lack of sufficient memory.
Q138,R2,"Thrashing plays an essential role in os basics, helping the operating system to function efficiently."
Q138,R3,"In simple terms, thrashing refers to a mechanism or principle used in os basics to manage processes or resources."
Q139,R1,Logical memory is generated by CPU; physical memory is actual RAM location.
Q139,R2,"Difference  logical  physical memory plays an essential role in memory management, helping the operating system to function efficiently."
Q139,R3,"In simple terms, difference  logical  physical memory refers to a mechanism or principle used in memory management to manage processes or resources."
Q140,R1,Swap space is disk space used to temporarily hold memory pages that cannot fit in RAM.
Q140,R2,"Swap space plays an essential role in virtual memory, helping the operating system to function efficiently."
Q140,R3,"In simple terms, swap space refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q141,R1,Copy-on-write delays copying of shared resources until a modification occurs.
Q141,R2,"Copy-on-write plays an essential role in os basics, helping the operating system to function efficiently."
Q141,R3,"In simple terms, copy-on-write refers to a mechanism or principle used in os basics to manage processes or resources."
Q142,R1,Virtual memory is memory management technique that gives an application the illusion of large continuous memory using disk space.
Q142,R2,"Virtual memory plays an essential role in memory management, helping the operating system to function efficiently."
Q142,R3,"In simple terms, virtual memory refers to a mechanism or principle used in memory management to manage processes or resources."
Q143,R1,Segmentation fault occurs when a process accesses memory it is not allowed to.
Q143,R2,"Segmentation fault plays an essential role in memory management, helping the operating system to function efficiently."
Q143,R3,"In simple terms, segmentation fault refers to a mechanism or principle used in memory management to manage processes or resources."
Q143,R1,"Accessing unauthorized memory, causing a runtime error."
Q143,R2,"Segmentation fault plays an essential role in memory management, helping the operating system to function efficiently."
Q143,R3,"In simple terms, segmentation fault refers to a mechanism or principle used in memory management to manage processes or resources."
Q144,R1,Metadata in a file system that stores information about disk layout and free space.
Q144,R2,"Superblock plays an essential role in os basics, helping the operating system to function efficiently."
Q144,R3,"In simple terms, superblock refers to a mechanism or principle used in os basics to manage processes or resources."
Q145,R1,"Inode stores metadata about a file, like permissions, ownership, and pointers to data blocks."
Q145,R2,"Inode plays an essential role in file systems, helping the operating system to function efficiently."
Q145,R3,"In simple terms, inode refers to a mechanism or principle used in file systems to manage processes or resources."
Q146,R1,"FAT is simpler, less secure; NTFS supports permissions, journaling, and large files."
Q146,R2,"Difference  fat  ntfs plays an essential role in os basics, helping the operating system to function efficiently."
Q146,R3,"In simple terms, difference  fat  ntfs refers to a mechanism or principle used in os basics to manage processes or resources."
Q147,R1,Journaling logs changes before writing to the main file system to prevent corruption after crashes.
Q147,R2,"Journaling in file systems plays an essential role in file systems, helping the operating system to function efficiently."
Q147,R3,"In simple terms, journaling in file systems refers to a mechanism or principle used in file systems to manage processes or resources."
Q148,R1,RAID (Redundant Array of Independent/Inexpensive Disks) combines multiple disks for redundancy and performance.
Q148,R2,"Raid plays an essential role in os basics, helping the operating system to function efficiently."
Q148,R3,"In simple terms, raid refers to a mechanism or principle used in os basics to manage processes or resources."
Q149,R1,"RAID 0, 1, 5, 6, 10."
Q149,R2,"What are raid levels plays an essential role in os basics, helping the operating system to function efficiently."
Q149,R3,"In simple terms, what are raid levels refers to a mechanism or principle used in os basics to manage processes or resources."
Q150,R1,Software that allows the OS to communicate with hardware devices.
Q150,R2,"Device driver plays an essential role in device management, helping the operating system to function efficiently."
Q150,R3,"In simple terms, device driver refers to a mechanism or principle used in device management to manage processes or resources."
Q151,R1,Temporarily storing I/O data in memory to improve performance.
Q151,R2,"I/o buffering plays an essential role in device management, helping the operating system to function efficiently."
Q151,R3,"In simple terms, i/o buffering refers to a mechanism or principle used in device management to manage processes or resources."
Q152,R1,Block devices transfer data in fixed-size blocks; character devices transfer byte by byte.
Q152,R2,"Difference  block  character devices plays an essential role in os basics, helping the operating system to function efficiently."
Q152,R3,"In simple terms, difference  block  character devices refers to a mechanism or principle used in os basics to manage processes or resources."
Q153,R1,DMA allows devices to access memory directly without CPU involvement.
Q153,R2,"Direct memory access (dma) plays an essential role in memory management, helping the operating system to function efficiently."
Q153,R3,"In simple terms, direct memory access (dma) refers to a mechanism or principle used in memory management to manage processes or resources."
Q154,R1,"Holding data temporarily for devices to process at their own speed (e.g., print spooler)."
Q154,R2,"Spooling plays an essential role in os basics, helping the operating system to function efficiently."
Q154,R3,"In simple terms, spooling refers to a mechanism or principle used in os basics to manage processes or resources."
Q155,R1,A bootloader is a program that loads the operating system into memory during system startup.
Q155,R2,"Bootloader plays an essential role in os basics, helping the operating system to function efficiently."
Q155,R3,"In simple terms, bootloader refers to a mechanism or principle used in os basics to manage processes or resources."
Q156,R1,Interface for programs to request OS services.
Q156,R2,"System call plays an essential role in system calls, helping the operating system to function efficiently."
Q156,R3,"In simple terms, system call refers to a mechanism or principle used in system calls to manage processes or resources."
Q157,R1,"Process control, file management, device management, information maintenance, communication."
Q157,R2,"What are types of system calls plays an essential role in os basics, helping the operating system to function efficiently."
Q157,R3,"In simple terms, what are types of system calls refers to a mechanism or principle used in os basics to manage processes or resources."
Q158,R1,Creates a new process by duplicating the calling process.
Q158,R2,"Fork() plays an essential role in system calls, helping the operating system to function efficiently."
Q158,R3,"In simple terms, fork() refers to a mechanism or principle used in system calls to manage processes or resources."
Q159,R1,Replaces the current process image with a new program.
Q159,R2,"Exec() plays an essential role in system calls, helping the operating system to function efficiently."
Q159,R3,"In simple terms, exec() refers to a mechanism or principle used in system calls to manage processes or resources."
Q160,R1,Completed process that still occupies process table entry.
Q160,R2,"Zombie process plays an essential role in process management, helping the operating system to function efficiently."
Q160,R3,"In simple terms, zombie process refers to a mechanism or principle used in process management to manage processes or resources."
Q161,R1,Process whose parent has terminated; adopted by init process.
Q161,R2,"Orphprocess plays an essential role in process management, helping the operating system to function efficiently."
Q161,R3,"In simple terms, orphprocess refers to a mechanism or principle used in process management to manage processes or resources."
Q161,R1,Process whose parent has terminated; adopted by init process.
Q161,R2,"Orphprocess plays an essential role in process management, helping the operating system to function efficiently."
Q161,R3,"In simple terms, orphprocess refers to a mechanism or principle used in process management to manage processes or resources."
Q161,R1,Process whose parent has terminated; adopted by init process.
Q161,R2,"Orphprocess plays an essential role in process management, helping the operating system to function efficiently."
Q161,R3,"In simple terms, orphprocess refers to a mechanism or principle used in process management to manage processes or resources."
Q162,R1,"Init is the first process started by the kernel at boot, responsible for starting system services."
Q162,R2,"Init process plays an essential role in process management, helping the operating system to function efficiently."
Q162,R3,"In simple terms, init process refers to a mechanism or principle used in process management to manage processes or resources."
Q163,R1,"New, Ready, Running, Waiting, Terminated."
Q163,R2,"What are process states plays an essential role in process management, helping the operating system to function efficiently."
Q163,R3,"In simple terms, what are process states refers to a mechanism or principle used in process management to manage processes or resources."
Q164,R1,Holds processes ready to execute in main memory.
Q164,R2,"Ready queue plays an essential role in os basics, helping the operating system to function efficiently."
Q164,R3,"In simple terms, ready queue refers to a mechanism or principle used in os basics to manage processes or resources."
Q165,R1,Holds processes waiting for I/O or events.
Q165,R2,"Waiting queue plays an essential role in os basics, helping the operating system to function efficiently."
Q165,R3,"In simple terms, waiting queue refers to a mechanism or principle used in os basics to manage processes or resources."
Q166,R1,I/O scheduling determines the order in which I/O operations are processed to improve efficiency.
Q166,R2,"I/o scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q166,R3,"In simple terms, i/o scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q167,R1,"FCFS, SSTF (Shortest Seek Time First), SCAN, C-SCAN, LOOK, C-LOOK."
Q167,R2,"Name i/o scheduling algorithms plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q167,R3,"In simple terms, name i/o scheduling algorithms refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q168,R1,Synchronous waits for completion; asynchronous allows concurrent execution.
Q168,R2,"Difference  synchronous  asynchronous i/o plays an essential role in device management, helping the operating system to function efficiently."
Q168,R3,"In simple terms, difference  synchronous  asynchronous i/o refers to a mechanism or principle used in device management to manage processes or resources."
Q169,R1,"OS designed for predictable, time-critical operations."
Q169,R2,"Real-time os (rtos) plays an essential role in os basics, helping the operating system to function efficiently."
Q169,R3,"In simple terms, real-time os (rtos) refers to a mechanism or principle used in os basics to manage processes or resources."
Q170,R1,Hard RTOS guarantees deadlines; soft RTOS is best-effort.
Q170,R2,"Difference  hard  soft rtos plays an essential role in os basics, helping the operating system to function efficiently."
Q170,R3,"In simple terms, difference  hard  soft rtos refers to a mechanism or principle used in os basics to manage processes or resources."
Q171,R1,Manages resources across multiple networked computers as a single system.
Q171,R2,"Distributed os plays an essential role in os basics, helping the operating system to function efficiently."
Q171,R3,"In simple terms, distributed os refers to a mechanism or principle used in os basics to manage processes or resources."
Q172,R1,Provides network services like file sharing and communication.
Q172,R2,"Network os plays an essential role in os basics, helping the operating system to function efficiently."
Q172,R3,"In simple terms, network os refers to a mechanism or principle used in os basics to manage processes or resources."
Q173,R1,"Microkernel contains minimal core services like communication, scheduling, and memory management."
Q173,R2,"Microkernel plays an essential role in os basics, helping the operating system to function efficiently."
Q173,R3,"In simple terms, microkernel refers to a mechanism or principle used in os basics to manage processes or resources."
Q174,R1,Monolithic kernel contains all OS services in one large block of code running in kernel mode.
Q174,R2,"Monolithic kernel plays an essential role in os basics, helping the operating system to function efficiently."
Q174,R3,"In simple terms, monolithic kernel refers to a mechanism or principle used in os basics to manage processes or resources."
Q175,R1,Hybrid kernel combines features of microkernel and monolithic kernel for performance and modularity.
Q175,R2,"Hybrid kernel plays an essential role in os basics, helping the operating system to function efficiently."
Q175,R3,"In simple terms, hybrid kernel refers to a mechanism or principle used in os basics to manage processes or resources."
Q176,R1,Loadable component that extends kernel functionality.
Q176,R2,"Kernel module plays an essential role in os basics, helping the operating system to function efficiently."
Q176,R3,"In simple terms, kernel module refers to a mechanism or principle used in os basics to manage processes or resources."
Q177,R1,Background process running without direct user interaction.
Q177,R2,"Daemon process plays an essential role in process management, helping the operating system to function efficiently."
Q177,R3,"In simple terms, daemon process refers to a mechanism or principle used in process management to manage processes or resources."
Q178,R1,Bootstrapping is the process of loading the OS into memory from firmware.
Q178,R2,"Bootstrapping plays an essential role in os basics, helping the operating system to function efficiently."
Q178,R3,"In simple terms, bootstrapping refers to a mechanism or principle used in os basics to manage processes or resources."
Q179,R1,Memory management technique that caches frequently used objects.
Q179,R2,"Slab allocation plays an essential role in memory management, helping the operating system to function efficiently."
Q179,R3,"In simple terms, slab allocation refers to a mechanism or principle used in memory management to manage processes or resources."
Q180,R1,Lock where a process waits actively in a loop until resource is free.
Q180,R2,"Spinlock plays an essential role in os basics, helping the operating system to function efficiently."
Q180,R3,"In simple terms, spinlock refers to a mechanism or principle used in os basics to manage processes or resources."
Q181,R1,Files stored across multiple machines accessible transparently.
Q181,R2,"Distributed file system plays an essential role in file systems, helping the operating system to function efficiently."
Q181,R3,"In simple terms, distributed file system refers to a mechanism or principle used in file systems to manage processes or resources."
Q182,R1,Kernel panic occurs when the OS detects a fatal error from which it cannot safely recover.
Q182,R2,"Kernel panic plays an essential role in os basics, helping the operating system to function efficiently."
Q182,R3,"In simple terms, kernel panic refers to a mechanism or principle used in os basics to manage processes or resources."
Q183,R1,Kernel code that can be loaded/unloaded dynamically without reboot.
Q183,R2,"Loadable kernel module (lkm) plays an essential role in os basics, helping the operating system to function efficiently."
Q183,R3,"In simple terms, loadable kernel module (lkm) refers to a mechanism or principle used in os basics to manage processes or resources."
Q184,R1,Allowing kernel tasks to be interrupted for higher-priority tasks.
Q184,R2,"Kernel preemption plays an essential role in os basics, helping the operating system to function efficiently."
Q184,R3,"In simple terms, kernel preemption refers to a mechanism or principle used in os basics to manage processes or resources."
Q185,R1,Maps device memory into process address space for direct access.
Q185,R2,"Memory-mapped i/o plays an essential role in memory management, helping the operating system to function efficiently."
Q185,R3,"In simple terms, memory-mapped i/o refers to a mechanism or principle used in memory management to manage processes or resources."
Q186,R1,Data structure mapping virtual addresses to physical addresses.
Q186,R2,"Page table plays an essential role in virtual memory, helping the operating system to function efficiently."
Q186,R3,"In simple terms, page table refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q187,R1,Single page table mapping physical frames to virtual addresses to save memory.
Q187,R2,"Inverted page table plays an essential role in virtual memory, helping the operating system to function efficiently."
Q187,R3,"In simple terms, inverted page table refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q188,R1,Cache that stores recent virtual-to-physical address mappings.
Q188,R2,"Tlb (translation lookaside buffer) plays an essential role in virtual memory, helping the operating system to function efficiently."
Q188,R3,"In simple terms, tlb (translation lookaside buffer) refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q189,R1,Segmentation fault occurs when a process accesses memory it is not allowed to.
Q189,R2,"Segmentation fault plays an essential role in memory management, helping the operating system to function efficiently."
Q189,R3,"In simple terms, segmentation fault refers to a mechanism or principle used in memory management to manage processes or resources."
Q190,R1,Only the required segment of a program is loaded into memory when needed.
Q190,R2,"Dem segmentation plays an essential role in memory management, helping the operating system to function efficiently."
Q190,R3,"In simple terms, dem segmentation refers to a mechanism or principle used in memory management to manage processes or resources."
Q191,R1,Metadata in a file system that stores information about disk layout and free space.
Q191,R2,"Superblock plays an essential role in os basics, helping the operating system to function efficiently."
Q191,R3,"In simple terms, superblock refers to a mechanism or principle used in os basics to manage processes or resources."
Q192,R1,Logs updates before writing to disk to prevent corruption.
Q192,R2,"Journaling plays an essential role in os basics, helping the operating system to function efficiently."
Q192,R3,"In simple terms, journaling refers to a mechanism or principle used in os basics to manage processes or resources."
Q193,R1,"File Allocation Table, a simple file system format."
Q193,R2,"Fat plays an essential role in os basics, helping the operating system to function efficiently."
Q193,R3,"In simple terms, fat refers to a mechanism or principle used in os basics to manage processes or resources."
Q194,R1,"New Technology File System with security, journaling, and large file support."
Q194,R2,"Ntfs plays an essential role in os basics, helping the operating system to function efficiently."
Q194,R3,"In simple terms, ntfs refers to a mechanism or principle used in os basics to manage processes or resources."
Q195,R1,"Metadata structure storing file info like permissions, ownership, and pointers."
Q195,R2,"Inode plays an essential role in file systems, helping the operating system to function efficiently."
Q195,R3,"In simple terms, inode refers to a mechanism or principle used in file systems to manage processes or resources."
Q196,R1,RAID (Redundant Array of Independent/Inexpensive Disks) combines multiple disks for redundancy and performance.
Q196,R2,"Raid plays an essential role in os basics, helping the operating system to function efficiently."
Q196,R3,"In simple terms, raid refers to a mechanism or principle used in os basics to manage processes or resources."
Q197,R1,Direct Memory Access allows devices to read/write memory directly.
Q197,R2,"Dma plays an essential role in device management, helping the operating system to function efficiently."
Q197,R3,"In simple terms, dma refers to a mechanism or principle used in device management to manage processes or resources."
Q198,R1,Unidirectional communication channel between processes.
Q198,R2,"Pipe plays an essential role in os basics, helping the operating system to function efficiently."
Q198,R3,"In simple terms, pipe refers to a mechanism or principle used in os basics to manage processes or resources."
Q199,R1,Endpoint for bidirectional network communication.
Q199,R2,"Socket plays an essential role in os basics, helping the operating system to function efficiently."
Q199,R3,"In simple terms, socket refers to a mechanism or principle used in os basics to manage processes or resources."
Q200,R1,"Mechanisms for processes to exchange data (shared memory, message passing)."
Q200,R2,"Ipc (inter-process communication) plays an essential role in process management, helping the operating system to function efficiently."
Q200,R3,"In simple terms, ipc (inter-process communication) refers to a mechanism or principle used in process management to manage processes or resources."
Q201,R1,"Message passing allows processes to communicate by sending and receiving messages, suitable for distributed systems."
Q201,R2,"Message passing plays an essential role in os basics, helping the operating system to function efficiently."
Q201,R3,"In simple terms, message passing refers to a mechanism or principle used in os basics to manage processes or resources."
Q202,R1,Shared memory allows multiple processes to access the same memory region for faster communication.
Q202,R2,"Shared memory in ipc plays an essential role in memory management, helping the operating system to function efficiently."
Q202,R3,"In simple terms, shared memory in ipc refers to a mechanism or principle used in memory management to manage processes or resources."
Q203,R1,Message queue is an IPC mechanism where messages are stored in a queue for processes to read.
Q203,R2,"Message queue plays an essential role in os basics, helping the operating system to function efficiently."
Q203,R3,"In simple terms, message queue refers to a mechanism or principle used in os basics to manage processes or resources."
Q204,R1,A semaphore is a synchronization tool using counters to control access to shared resources.
Q204,R2,"Semaphore in os plays an essential role in deadlocks, helping the operating system to function efficiently."
Q204,R3,"In simple terms, semaphore in os refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q205,R1,Counting semaphore allows multiple accesses; binary semaphore allows one process at a time.
Q205,R2,"Difference  counting  binary semaphore plays an essential role in deadlocks, helping the operating system to function efficiently."
Q205,R3,"In simple terms, difference  counting  binary semaphore refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q206,R1,Mutex (mutual exclusion) is a locking mechanism ensuring that only one thread accesses a resource at a time.
Q206,R2,"Mutex plays an essential role in deadlocks, helping the operating system to function efficiently."
Q206,R3,"In simple terms, mutex refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q207,R1,"Mutex is for mutual exclusion with ownership, semaphore can allow multiple processes and has no ownership."
Q207,R2,"Difference  mutex  semaphore plays an essential role in deadlocks, helping the operating system to function efficiently."
Q207,R3,"In simple terms, difference  mutex  semaphore refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q208,R1,Deadlock occurs when processes are waiting indefinitely for resources held by each other.
Q208,R2,"Deadlock plays an essential role in deadlocks, helping the operating system to function efficiently."
Q208,R3,"In simple terms, deadlock refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q209,R1,"Mutual exclusion, hold and wait, no preemption, circular wait."
Q209,R2,"What are necessary conditions for deadlock plays an essential role in deadlocks, helping the operating system to function efficiently."
Q209,R3,"In simple terms, what are necessary conditions for deadlock refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q210,R1,Ensuring at least one of the necessary conditions for deadlock cannot occur.
Q210,R2,"Deadlock prevention plays an essential role in deadlocks, helping the operating system to function efficiently."
Q210,R3,"In simple terms, deadlock prevention refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q211,R1,"Dynamically checks resource allocation to avoid unsafe states (e.g., Banker's Algorithm)."
Q211,R2,"Deadlock avoidance plays an essential role in deadlocks, helping the operating system to function efficiently."
Q211,R3,"In simple terms, deadlock avoidance refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q212,R1,OS periodically checks for deadlocks and recovers if necessary.
Q212,R2,"Deadlock detection plays an essential role in deadlocks, helping the operating system to function efficiently."
Q212,R3,"In simple terms, deadlock detection refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q213,R1,Techniques include terminating processes or preempting resources to resolve deadlocks.
Q213,R2,"Deadlock recovery plays an essential role in deadlocks, helping the operating system to function efficiently."
Q213,R3,"In simple terms, deadlock recovery refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q214,R1,Coordination of processes to ensure correct execution when accessing shared resources.
Q214,R2,"Process synchronization plays an essential role in process management, helping the operating system to function efficiently."
Q214,R3,"In simple terms, process synchronization refers to a mechanism or principle used in process management to manage processes or resources."
Q215,R1,Ensuring that only one process accesses shared resources at a time to prevent conflicts.
Q215,R2,"Critical section problem plays an essential role in synchronization, helping the operating system to function efficiently."
Q215,R3,"In simple terms, critical section problem refers to a mechanism or principle used in synchronization to manage processes or resources."
Q216,R1,"Busy waiting occurs when a process continuously checks a condition instead of sleeping, wasting CPU cycles."
Q216,R2,"Busy waiting plays an essential role in os basics, helping the operating system to function efficiently."
Q216,R3,"In simple terms, busy waiting refers to a mechanism or principle used in os basics to manage processes or resources."
Q217,R1,No direct answer available for what is petersons solution?.
